"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","peace","freedom","union","congress","peace","constitution"
"2","freedom","war","constitution","business","justice","union"
"3","free","american","public","policy","freedom","power"
"4","life","work","power","public","public","public"
"5","work","americans","war","american","american","rights"
"6","man","peace","best","laws","life","interests"
"7","strength","citizens","peace","war","progress","powers"
"8","hope","liberty","state","law","support","foreign"
"9","god","americas","foreign","executive","law","state"
"10","earth","life","law","order","human","fellowcitizens"
"11","century","spirit","rights","peace","free","peace"
"12","american","power","laws","trade","citizens","spirit"
